id,instructions,instructionsLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,batchID,batchIDLastChangedAt,label,labelLastChangedAt,guesserOrder,guesserOrderLastChangedAt,decision,decisionLastChangedAt,target,targetLastChangedAt,verb,verbLastChangedAt,directorOrder,directorOrderLastChangedAt,images,imagesLastChangedAt
01HN6DQBN6R5ABPJBY3XHDGCZS,,2024-01-27T21:38:02.022451494Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.022451494Z,true,2024-01-27T21:44:06.345165927Z,2,2024-01-27T21:38:04.300412023Z,Round 54,2024-01-27T21:38:02.022451494Z,58,2024-01-27T21:38:02.022451494Z,true,2024-01-27T21:43:57.499969714Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.022451494Z,NA,2024-01-27T21:38:02.022451494Z,"[""cowboy-toss-banana-boxer"",""cowboy-toss-banana-soldier"",""cowboy-toss-banana-monk"",""cowboy-toss-banana-clown""]",2024-01-27T21:38:02.022451494Z,cowboy-toss-banana-clown,2024-01-27T21:44:03.751952162Z,cowboy-toss-banana-clown,2024-01-27T21:38:02.022451494Z,toss,2024-01-27T21:38:02.022451494Z,"[""cowboy-toss-banana-soldier"",""cowboy-toss-banana-boxer"",""cowboy-toss-banana-monk"",""cowboy-toss-banana-clown""]",2024-01-27T21:38:02.022451494Z,"[""cowboy-toss-banana-clown"",""cowboy-toss-banana-soldier"",""cowboy-toss-banana-boxer"",""cowboy-toss-banana-monk""]",2024-01-27T21:38:02.022451494Z
01HN6DQBNNVDNKWX382JNY4XX5,,2024-01-27T21:38:02.037346431Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.037346431Z,true,2024-01-27T21:41:35.431552903Z,1,2024-01-27T21:38:03.400654879Z,Round 45,2024-01-27T21:38:02.037346431Z,46,2024-01-27T21:38:02.037346431Z,true,2024-01-27T21:41:28.347622081Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.037346431Z,chef,2024-01-27T21:38:02.037346431Z,,,,,,,,,,,,
01HN6DQBNVMCJ2HDWR7MVQMMFW,,2024-01-27T21:38:02.043504056Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.043504056Z,true,2024-01-27T21:39:54.15500762Z,1,2024-01-27T21:38:03.387955257Z,Round 24,2024-01-27T21:38:02.043504056Z,24,2024-01-27T21:38:02.043504056Z,true,2024-01-27T21:39:50.375564959Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.043504056Z,pirate,2024-01-27T21:38:02.043504056Z,,,,,,,,,,,,
01HN6DQBNYXEZTJMMZ7P1H3MP4,,2024-01-27T21:38:02.046475401Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.046475401Z,true,2024-01-27T21:39:45.938593211Z,1,2024-01-27T21:38:03.400654879Z,Round 22,2024-01-27T21:38:02.046475401Z,22,2024-01-27T21:38:02.046475401Z,true,2024-01-27T21:39:42.581312843Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.046475401Z,jug,2024-01-27T21:38:02.046475401Z,,,,,,,,,,,,
01HN6DQBP6FVZKQZZD99DB3PDH,,2024-01-27T21:38:02.0545438Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.0545438Z,true,2024-01-27T21:39:50.355124867Z,1,2024-01-27T21:38:03.400654879Z,Round 23,2024-01-27T21:38:02.0545438Z,23,2024-01-27T21:38:02.0545438Z,true,2024-01-27T21:39:45.954979143Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.0545438Z,sailor,2024-01-27T21:38:02.0545438Z,,,,,,,,,,,,
01HN6DQBPYJ0HC7Z3F2KDMK017,,2024-01-27T21:38:02.07846391Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.07846391Z,true,2024-01-27T21:40:11.967202334Z,1,2024-01-27T21:38:03.447614008Z,Round 26,2024-01-27T21:38:02.07846391Z,27,2024-01-27T21:38:02.07846391Z,true,2024-01-27T21:40:06.121000087Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.07846391Z,burglar,2024-01-27T21:38:02.07846391Z,,,,,,,,,,,,
01HN6DQBQB3YA6NRRBX92CZRKZ,,2024-01-27T21:38:02.091918611Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.091918611Z,true,2024-01-27T21:40:06.101867166Z,1,2024-01-27T21:38:03.311836394Z,Round 25,2024-01-27T21:38:02.091918611Z,26,2024-01-27T21:38:02.091918611Z,true,2024-01-27T21:40:02.574680048Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.091918611Z,gun,2024-01-27T21:38:02.091918611Z,,,,,,,,,,,,
01HN6DQBQCPPPMDGJSZHFWSWDT,,2024-01-27T21:38:02.092592514Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.092592514Z,true,2024-01-27T21:40:15.300802581Z,1,2024-01-27T21:38:03.456096819Z,Round 27,2024-01-27T21:38:02.092592514Z,28,2024-01-27T21:38:02.092592514Z,true,2024-01-27T21:40:11.986141013Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.092592514Z,ball,2024-01-27T21:38:02.092592514Z,,,,,,,,,,,,
01HN6DQBQMRAWE3Z8XX6530P5T,,2024-01-27T21:38:02.100086298Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.100086298Z,true,2024-01-27T21:40:54.161544652Z,1,2024-01-27T21:38:03.465767443Z,Round 38,2024-01-27T21:38:02.100086298Z,39,2024-01-27T21:38:02.100086298Z,true,2024-01-27T21:40:50.939392103Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.100086298Z,hat,2024-01-27T21:38:02.100086298Z,,,,,,,,,,,,
01HN6DQBQTZ8ED05FG5TNFQWZ0,,2024-01-27T21:38:02.107014556Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.107014556Z,true,2024-01-27T21:41:04.042189071Z,1,2024-01-27T21:38:03.508188273Z,Round 40,2024-01-27T21:38:02.107014556Z,41,2024-01-27T21:38:02.107014556Z,true,2024-01-27T21:40:59.232577563Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.107014556Z,apple,2024-01-27T21:38:02.107014556Z,,,,,,,,,,,,
