id,index,indexLastChangedAt,ended,endedLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,started,startedLastChangedAt,duration,durationLastChangedAt,start,startLastChangedAt,name,nameLastChangedAt
01HN6DQCYWKKZMGFPCZMXY0X3V,0,2024-01-27T21:38:03.356153451Z,true,2024-01-27T21:39:11.179173848Z,01HN6DQBKFHD8570E6MQB728WT,2024-01-27T21:38:03.356153451Z,01HN6DQC2XERTNWPCFK8CBN1MK,2024-01-27T21:38:03.356153451Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.356153451Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.356153451Z,true,2024-01-27T21:39:08.184742525Z,10000,2024-01-27T21:38:03.356153451Z,true,2024-01-27T21:39:08.132332073Z,train,2024-01-27T21:38:03.356153451Z
01HN6DQCZ33QE7F7KV6XWGGYQS,0,2024-01-27T21:38:03.363779598Z,true,2024-01-27T21:39:28.90848167Z,01HN6DQBKQT5CDJ6SS8B9NMFYW,2024-01-27T21:38:03.363779598Z,01HN6DQC2Y4SX71AGB7NZ7WN04,2024-01-27T21:38:03.363779598Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.363779598Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.363779598Z,true,2024-01-27T21:39:25.21465977Z,10000,2024-01-27T21:38:03.363779598Z,true,2024-01-27T21:39:25.172119236Z,train,2024-01-27T21:38:03.363779598Z
01HN6DQCZQ93WBPR2QB7E5HV7Q,0,2024-01-27T21:38:03.383208148Z,true,2024-01-27T21:39:54.132306345Z,01HN6DQBNVMCJ2HDWR7MVQMMFW,2024-01-27T21:38:03.383208148Z,01HN6DQC33F3JTJ4535BG4XZ9B,2024-01-27T21:38:03.383208148Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.383208148Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.383208148Z,true,2024-01-27T21:39:50.472579126Z,10000,2024-01-27T21:38:03.383208148Z,true,2024-01-27T21:39:50.426288082Z,train,2024-01-27T21:38:03.383208148Z
01HN6DQCZZQMBVPDY1KQXR8NZN,0,2024-01-27T21:38:03.391483228Z,true,2024-01-27T21:41:35.405786112Z,01HN6DQBNNVDNKWX382JNY4XX5,2024-01-27T21:38:03.391483228Z,01HN6DQC37469PEVN5Q8VJ50C1,2024-01-27T21:38:03.391483228Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.391483228Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.391483228Z,true,2024-01-27T21:41:28.481598989Z,10000,2024-01-27T21:38:03.391483228Z,true,2024-01-27T21:41:28.433991817Z,recall,2024-01-27T21:38:03.391483228Z
01HN6DQD0KN0XXPYNFEEBFWXYT,0,2024-01-27T21:38:03.41166765Z,true,2024-01-27T21:39:45.917642011Z,01HN6DQBNYXEZTJMMZ7P1H3MP4,2024-01-27T21:38:03.41166765Z,01HN6DQC36RH30RA9BQR1TT7PS,2024-01-27T21:38:03.41166765Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.41166765Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.41166765Z,true,2024-01-27T21:39:42.677442319Z,10000,2024-01-27T21:38:03.41166765Z,true,2024-01-27T21:39:42.622043075Z,train,2024-01-27T21:38:03.41166765Z
01HN6DQD0Q4MCPGZMYQW0TNK6Q,0,2024-01-27T21:38:03.415369316Z,true,2024-01-27T21:39:50.333685946Z,01HN6DQBP6FVZKQZZD99DB3PDH,2024-01-27T21:38:03.415369316Z,01HN6DQC37469PEVN5QF0KQS7F,2024-01-27T21:38:03.415369316Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.415369316Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.415369316Z,true,2024-01-27T21:39:46.026526623Z,10000,2024-01-27T21:38:03.415369316Z,true,2024-01-27T21:39:45.9904902Z,train,2024-01-27T21:38:03.415369316Z
01HN6DQD1HRZN6QB0NCBS6NJMX,0,2024-01-27T21:38:03.441242974Z,true,2024-01-27T21:40:11.941819781Z,01HN6DQBPYJ0HC7Z3F2KDMK017,2024-01-27T21:38:03.441242974Z,01HN6DQC3D8KGC7EBSSHZNCV1Q,2024-01-27T21:38:03.441242974Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.441242974Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.441242974Z,true,2024-01-27T21:40:06.260240497Z,10000,2024-01-27T21:38:03.441242974Z,true,2024-01-27T21:40:06.174474264Z,recall,2024-01-27T21:38:03.441242974Z
01HN6DQD1TQMZXVQ7SQEBAQBW0,0,2024-01-27T21:38:03.450660041Z,true,2024-01-27T21:40:15.278434812Z,01HN6DQBQCPPPMDGJSZHFWSWDT,2024-01-27T21:38:03.450660041Z,01HN6DQC3ER034RBYP56P4ZPMX,2024-01-27T21:38:03.450660041Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.450660041Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.450660041Z,true,2024-01-27T21:40:12.080119471Z,10000,2024-01-27T21:38:03.450660041Z,true,2024-01-27T21:40:12.034342943Z,recall,2024-01-27T21:38:03.450660041Z
01HN6DQD24RENXAY86534AV80D,0,2024-01-27T21:38:03.460398354Z,true,2024-01-27T21:40:54.134508679Z,01HN6DQBQMRAWE3Z8XX6530P5T,2024-01-27T21:38:03.460398354Z,01HN6DQC3R37VC7BCXA6TVBSTQ,2024-01-27T21:38:03.460398354Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.460398354Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.460398354Z,true,2024-01-27T21:40:51.048007841Z,10000,2024-01-27T21:38:03.460398354Z,true,2024-01-27T21:40:50.990034789Z,recall,2024-01-27T21:38:03.460398354Z
01HN6DQD2H7Y9J91N5E5FTT7GC,0,2024-01-27T21:38:03.473366218Z,true,2024-01-27T21:41:08.055422449Z,01HN6DQBQWSKJHPXSMRB24GYG0,2024-01-27T21:38:03.473366218Z,01HN6DQC4DQS4603XW2PD96YZ4,2024-01-27T21:38:03.473366218Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.473366218Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.473366218Z,true,2024-01-27T21:41:04.173871761Z,10000,2024-01-27T21:38:03.473366218Z,true,2024-01-27T21:41:04.113051118Z,recall,2024-01-27T21:38:03.473366218Z
