id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt
01HN6DT9EP841W07XZSZDF2G4H,01HN6C88PRJWJW6RK92Z0Q73VT,2024-01-27T21:39:38.070614302Z,01HN6C88Q370AA57RYFG23GYJZ,2024-01-27T21:39:38.070614302Z,01HN6DT4WG0SRDM1ZT63FHCRAN,2024-01-27T21:39:38.070614302Z,01HN6DT6686XR3XG4Q544ZV920,2024-01-27T21:39:38.070614302Z,01HN6DQRX91EGHRVTYMMDE2VWF,2024-01-27T21:39:38.070614302Z,true,2024-01-27T21:39:51.033780805Z
01HN6DT9FBFP40CK2Z5QS04TT3,01HN6C88PRJWJW6RK92Z0Q73VT,2024-01-27T21:39:38.092034331Z,01HN6C88Q370AA57RYFG23GYJZ,2024-01-27T21:39:38.092034331Z,01HN6DT4WG0SRDM1ZT63FHCRAN,2024-01-27T21:39:38.092034331Z,01HN6DT6686XR3XG4Q544ZV920,2024-01-27T21:39:38.092034331Z,01HN6DQS9FCYA8P478TRG73AWD,2024-01-27T21:39:38.092034331Z,true,2024-01-27T21:39:50.844732779Z
01HN6DT9JFJXZR0GDF7QZ0RE7V,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:38.191602395Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:38.191602395Z,01HN6DQBX2FPMV1NP5J5X353NN,2024-01-27T21:39:38.191602395Z,01HN6DQDD2H9PBFNZ93WHNJ9Q3,2024-01-27T21:39:38.191602395Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:38.191602395Z,true,2024-01-27T21:39:39.885613531Z
01HN6DT9JV1H6T85JAHVZGCRAJ,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:38.20355421Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:38.20355421Z,01HN6DQBX2FPMV1NP5J5X353NN,2024-01-27T21:39:38.20355421Z,01HN6DQDD2H9PBFNZ93WHNJ9Q3,2024-01-27T21:39:38.20355421Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:38.20355421Z,true,2024-01-27T21:39:42.54802772Z
01HN6DTDX56Y1BTE2MBF0EDTVD,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:42.629307895Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:42.629307895Z,01HN6DQBNYXEZTJMMZ7P1H3MP4,2024-01-27T21:39:42.629307895Z,01HN6DQD0KN0XXPYNFEEBFWXYT,2024-01-27T21:39:42.629307895Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:42.629307895Z,true,2024-01-27T21:39:44.33566362Z
01HN6DTDXA0MFM8D68VHA87P53,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:42.634750035Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:42.634750035Z,01HN6DQBNYXEZTJMMZ7P1H3MP4,2024-01-27T21:39:42.634750035Z,01HN6DQD0KN0XXPYNFEEBFWXYT,2024-01-27T21:39:42.634750035Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:42.634750035Z,true,2024-01-27T21:39:45.907772649Z
01HN6DTH6CXECXB3C20PD525RR,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:45.996900213Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:45.996900213Z,01HN6DQBP6FVZKQZZD99DB3PDH,2024-01-27T21:39:45.996900213Z,01HN6DQD0Q4MCPGZMYQW0TNK6Q,2024-01-27T21:39:45.996900213Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:45.996900213Z,true,2024-01-27T21:39:47.839317938Z
01HN6DTH6KRT9EAH7Y68VAADEQ,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:46.003723173Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:46.003723173Z,01HN6DQBP6FVZKQZZD99DB3PDH,2024-01-27T21:39:46.003723173Z,01HN6DQD0Q4MCPGZMYQW0TNK6Q,2024-01-27T21:39:46.003723173Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:46.003723173Z,true,2024-01-27T21:39:50.323749488Z
01HN6DTNH4A9J596C1Q4DW4MRE,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:50.436264165Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:50.436264165Z,01HN6DQBNVMCJ2HDWR7MVQMMFW,2024-01-27T21:39:50.436264165Z,01HN6DQCZQ93WBPR2QB7E5HV7Q,2024-01-27T21:39:50.436264165Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:50.436264165Z,true,2024-01-27T21:39:52.773184984Z
01HN6DTNHBJ1FWW0KXMHX29SH7,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:50.443467622Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:50.443467622Z,01HN6DQBNVMCJ2HDWR7MVQMMFW,2024-01-27T21:39:50.443467622Z,01HN6DQCZQ93WBPR2QB7E5HV7Q,2024-01-27T21:39:50.443467622Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:50.443467622Z,true,2024-01-27T21:39:54.124118855Z
