prior	cost	informativity	prob
0	0.6	med	0
0	0.65	med	0
0	0.7	med	0
0	0.75	med	0
0.05	0	med	0.106839825942887
0.05	0.05	med	0.105119421146893
0.05	0.1	med	0.103467723289444
0.05	0.15	med	0.101882882778785
0.05	0.2	med	0.100363003866227
0.05	0.25	med	0.0989061572254687
0.05	0.3	med	0.0975103914744655
0.05	0.35	med	0.096173743651793
0.05	0.4	med	0.0948942486717362
0.05	0.45	med	0.0936699477924045
0.05	0.5	med	0.0924988961390895
0.05	0.55	med	0.0913791693310852
0.05	0.6	med	0.0903088692644706
0.05	0.65	med	0.0892861291061217
0.05	0.7	med	0.0883091175556839
0.05	0.75	med	0.0873760424325937
0.1	0	med	0.193053815807311
0.1	0.05	med	0.190240835760175
0.1	0.1	med	0.187531943355817
0.1	0.15	med	0.184925066667433
0.1	0.2	med	0.182417990269743
0.1	0.25	med	0.180008377558259
0.1	0.3	med	0.177693791752557
0.1	0.35	med	0.175471715517286
0.1	0.4	med	0.173339569162696
0.1	0.45	med	0.171294727411097
0.1	0.5	med	0.169334534736799
0.1	0.55	med	0.167456319304852
0.1	0.6	med	0.165657405548565
0.1	0.65	med	0.163935125437411
0.1	0.7	med	0.162286828495977
0.1	0.75	med	0.160709890641186
0.15	0	med	0.264089026565329
0.15	0.05	med	0.260575228971312
0.15	0.1	med	0.257182909614747
0.15	0.15	med	0.253910401077723
0.15	0.2	med	0.250755800790292
0.15	0.25	med	0.247716998812471
0.15	0.3	med	0.244791704543851
0.15	0.35	med	0.241977472194662
0.15	0.4	med	0.239271724891307
0.15	0.45	med	0.236671777325233
0.15	0.5	med	0.234174856886253
0.15	0.55	med	0.231778123249873
0.15	0.6	med	0.229478686412918
0.15	0.65	med	0.227273623192756
0.15	0.7	med	0.225159992222946
0.15	0.75	med	0.223134847492407
0.2	0	med	0.323629685852312
0.2	0.05	med	0.319667801749843
0.2	0.1	med	0.315834777169657
0.2	0.15	med	0.312129554635094
0.2	0.2	med	0.308550769306425
0.2	0.25	med	0.305096778941083
0.2	0.3	med	0.301765693250579
0.2	0.35	med	0.298555402398716
0.2	0.4	med	0.295463604430203
0.2	0.45	med	0.292487831461017
0.2	0.5	med	0.28962547450104
0.2	0.55	med	0.286873806815422
0.2	0.6	med	0.284230005763323
0.2	0.65	med	0.281691173081151
0.2	0.7	med	0.279254353602165
0.2	0.75	med	0.276916552425358
0.25	0	med	0.374256943085674
0.25	0.05	med	0.370014334922178
0.25	0.1	med	0.365902303350897
0.25	0.15	med	0.361920427807633
0.25	0.2	med	0.358067927973023
0.25	0.25	med	0.354343693774204
0.25	0.3	med	0.350746315314251
0.25	0.35	med	0.34727411240543
0.25	0.4	med	0.343925163427612
0.25	0.45	med	0.340697333277546
0.25	0.5	med	0.337588300217198
0.25	0.55	med	0.334595581469345
0.25	0.6	med	0.331716557445522
0.25	0.65	med	0.328948494524937
0.25	0.7	med	0.326288566332936
0.25	0.75	med	0.323733873493889
0.3	0	med	0.417832954824216
0.3	0.05	med	0.413422734292429
0.3	0.1	med	0.409141593713771
0.3	0.15	med	0.404989703984414
0.3	0.2	med	0.400966840420571
0.3	0.25	med	0.3970724115296
0.3	0.3	med	0.393305488219901
0.3	0.35	med	0.389664833077964
0.3	0.4	med	0.386148929383978
0.3	0.45	med	0.382756009581014
0.3	0.5	med	0.379484082955736
0.3	0.55	med	0.376330962330065
0.3	0.6	med	0.373294289602428
0.3	0.65	med	0.370371560013656
0.3	0.7	med	0.367560145045893
0.3	0.75	med	0.364857313892845
0.35	0	med	0.455734934884983
0.35	0.05	med	0.451234740004439
0.35	0.1	med	0.446860334433158
0.35	0.15	med	0.442612409841557
0.35	0.2	med	0.438491239357769
0.35	0.25	med	0.434496704413979
0.35	0.3	med	0.430628322487038
0.35	0.35	med	0.426885275331697
0.35	0.4	med	0.423266437343888
0.35	0.45	med	0.41977040373238
0.35	0.5	med	0.416395518218676
0.35	0.55	med	0.413139900026113
0.35	0.6	med	0.410001469958796
0.35	0.65	med	0.406977975408711
0.35	0.7	med	0.404067014164451
0.35	0.75	med	0.401266056927182
0.4	0	med	0.48900336598891
0.4	0.05	med	0.484467077738764
0.4	0.1	med	0.480052332784536
0.4	0.15	med	0.475760268538267
0.4	0.2	med	0.471591590550158
0.4	0.25	med	0.467546597101602
0.4	0.3	med	0.463625205081345
0.4	0.35	med	0.459826976726936
0.4	0.4	med	0.456151146847788
0.4	0.45	med	0.452596650183377
0.4	0.5	med	0.449162148589065
0.4	0.55	med	0.445846057781435
0.4	0.6	med	0.442646573414055
0.4	0.65	med	0.439561696292209
0.4	0.7	med	0.436589256570958
0.4	0.75	med	0.433726936814135
0.45	0	med	0.518438985609649
0.45	0.05	med	0.513904251109539
0.45	0.1	med	0.509486359931713
0.45	0.15	med	0.505186824683852
0.45	0.2	med	0.501006719880814
0.45	0.25	med	0.496946704179316
0.45	0.3	med	0.493007044218707
0.45	0.35	med	0.489187639644088
0.45	0.4	med	0.485488048916965
0.45	0.45	med	0.481907515551688
0.45	0.5	med	0.478444994451508
0.45	0.55	med	0.475099178055225
0.45	0.6	med	0.471868522042787
0.45	0.65	med	0.468751270385038
0.45	0.7	med	0.465745479558368
0.45	0.75	med	0.46284904177865
0.5	0	med	0.544668076764946
0.5	0.05	med	0.540161260346515
0.5	0.1	med	0.535766434324399
0.5	0.15	med	0.53148542369724
0.5	0.2	med	0.527319614280937
0.5	0.25	med	0.52326997261196
0.5	0.3	med	0.519337067719708
0.5	0.35	med	0.515521094345686
0.5	0.4	med	0.511821897211074
0.5	0.45	med	0.508238995962881
0.5	0.5	med	0.504771610460977
0.5	0.55	med	0.501418686102597
0.5	0.6	med	0.498178918916222
0.5	0.65	med	0.495050780192241
0.5	0.7	med	0.49203254045248
0.5	0.75	med	0.489122292594084
0.55	0	med	0.568187523855424
0.55	0.05	med	0.563727035767982
0.55	0.1	med	0.559373711851492
0.55	0.15	med	0.555129635133388
0.55	0.2	med	0.550996452052388
0.55	0.25	med	0.546975390131789
0.55	0.3	med	0.543067277732468
0.55	0.35	med	0.53927256547008
0.55	0.4	med	0.535591348899808
0.55	0.45	med	0.532023392096386
0.55	0.5	med	0.528568151785557
0.55	0.55	med	0.525224801714441
0.55	0.6	med	0.521992256981287
0.55	0.65	med	0.518869198078802
0.55	0.7	med	0.515854094438776
0.55	0.75	med	0.512945227298355
0.6	0	med	0.589396590624485
0.6	0.05	med	0.584995167067823
0.6	0.1	med	0.58069621326766
0.6	0.15	med	0.576502023944948
0.6	0.2	med	0.572414462429675
0.6	0.25	med	0.56843497624416
0.6	0.3	med	0.564564614932209
0.6	0.35	med	0.560804049728878
0.6	0.4	med	0.557153594679884
0.6	0.45	med	0.553613228839977
0.6	0.5	med	0.550182619204476
0.6	0.55	med	0.546861144056447
0.6	0.6	med	0.543647916442582
0.6	0.65	med	0.540541807522574
0.6	0.7	med	0.53754146956887
0.6	0.75	med	0.534645358425343
0.65	0	med	0.608619771643736
0.65	0.05	med	0.604286062165693
0.65	0.1	med	0.600050318719112
0.65	0.15	med	0.595915008562411
0.65	0.2	med	0.591882174567422
0.65	0.25	med	0.587953448869442
0.65	0.3	med	0.58413006889203
0.65	0.35	med	0.580412895353843
0.65	0.4	med	0.576802431874939
0.65	0.45	med	0.57329884581642
0.65	0.5	med	0.569901990008777
0.65	0.55	med	0.566611425049642
0.65	0.6	med	0.563426441879749
0.65	0.65	med	0.560346084375575
0.65	0.7	med	0.557369171727702
0.65	0.75	med	0.554494320404338
0.7	0	med	0.626123511861712
0.7	0.05	med	0.621863200440004
0.7	0.1	med	0.617696572085828
0.7	0.15	med	0.613626233660598
0.7	0.2	med	0.609654375863336
0.7	0.25	med	0.605782785107868
0.7	0.3	med	0.602012857872719
0.7	0.35	med	0.598345617144955
0.7	0.4	med	0.594781730585584
0.7	0.45	med	0.591321530057059
0.7	0.5	med	0.58796503217174
0.7	0.55	med	0.584711959542688
0.7	0.6	med	0.581561762443804
0.7	0.65	med	0.57851364061401
0.7	0.7	med	0.575566564968992
0.7	0.75	med	0.572719299013227
0.75	0	med	0.642128631712219
0.75	0.05	med	0.637945238491861
0.75	0.1	med	0.633851478281527
0.75	0.15	med	0.629850069909948
0.75	0.2	med	0.625943325056219
0.75	0.25	med	0.622133158510539
0.75	0.3	med	0.61842110098007
0.75	0.35	med	0.614808314075909
0.75	0.4	med	0.611295607120107
0.75	0.45	med	0.607883455421409
0.75	0.5	med	0.604572019683758
0.75	0.55	med	0.601361166231447
0.75	0.6	med	0.598250487758114
0.75	0.65	med	0.595239324332426
0.75	0.7	med	0.592326784420489
0.75	0.75	med	0.589511765712808
0	0	high	0
0	0.05	high	0
0	0.1	high	0
0	0.15	high	0
0	0.2	high	0
0	0.25	high	0
0	0.3	high	0
0	0.35	high	0
0	0.4	high	0
0	0.45	high	0
0	0.5	high	0
0	0.55	high	0
0	0.6	high	0
0	0.65	high	0
0	0.7	high	0
0	0.75	high	0
0.05	0	high	0.0947577783719748
0.05	0.05	high	0.0935393921043906
0.05	0.1	high	0.0923740436151794
0.05	0.15	high	0.0912598111289276
0.05	0.2	high	0.0901947997302453
0.05	0.25	high	0.0891771462749884
0.05	0.3	high	0.088205023575681
0.05	0.35	high	0.0872766439182088
0.05	0.4	high	0.0863902619662028
0.05	0.45	high	0.0855441771081598
0.05	0.5	high	0.0847367353003969
0.05	0.55	high	0.0839663304565581
0.05	0.6	high	0.0832314054316953
0.05	0.65	high	0.082530452646039
0.05	0.7	high	0.0818620143905475
0.05	0.75	high	0.0812246828532441
0.1	0	high	0.173111861352362
0.1	0.05	high	0.171076401599735
0.1	0.1	high	0.169125299443165
0.1	0.15	high	0.167255882051622
0.1	0.2	high	0.165465474156661
