id,batchID,batchIDLastChangedAt,start,startLastChangedAt,index,indexLastChangedAt,ended,endedLastChangedAt,instructions,instructionsLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,stageIndex,stageIndexLastChangedAt,label,labelLastChangedAt,target,targetLastChangedAt,guesserOrder,guesserOrderLastChangedAt,directorOrder,directorOrderLastChangedAt,images,imagesLastChangedAt,verb,verbLastChangedAt,decision,decisionLastChangedAt
01HN18WNPPE652M5E8BSWTZF67,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.110608822Z,true,2024-01-25T21:41:44.645273707Z,20,2024-01-25T21:37:21.110608822Z,true,2024-01-25T21:41:55.64468626Z,,2024-01-25T21:37:21.110608822Z,Round 20,2024-01-25T21:37:21.110608822Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.110608822Z,1,2024-01-25T21:37:21.908192092Z,swimmer,2024-01-25T21:37:21.110608822Z,,,,,,,,,,,,
01HN18WNPW4SR19XCNT9BSAGMA,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.116992083Z,true,2024-01-25T21:42:14.988343488Z,25,2024-01-25T21:37:21.116992083Z,true,2024-01-25T21:42:26.458537381Z,recall,2024-01-25T21:37:21.116992083Z,Round 25,2024-01-25T21:37:21.116992083Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.116992083Z,1,2024-01-25T21:37:21.914302682Z,,,,,,,,,,,,,,
01HN18WNPZW9J3ZB6NNNFKNDKZ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.119798868Z,true,2024-01-25T21:48:05.97719528Z,55,2024-01-25T21:37:21.119798868Z,true,2024-01-25T21:48:39.094800127Z,,2024-01-25T21:37:21.119798868Z,Round 51,2024-01-25T21:37:21.119798868Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.119798868Z,2,2024-01-25T21:37:22.546274436Z,NA,2024-01-25T21:37:21.119798868Z,chef-fight-sailor,2024-01-25T21:37:21.119798868Z,"[""artist-sniff-cup"",""chef-fight-sailor"",""doctor-dance-cowboy"",""chef-step (on)-soldier""]",2024-01-25T21:37:21.119798868Z,"[""artist-sniff-cup"",""chef-step (on)-soldier"",""doctor-dance-cowboy"",""chef-fight-sailor""]",2024-01-25T21:37:21.119798868Z,"[""chef-fight-sailor"",""artist-sniff-cup"",""chef-step (on)-soldier"",""doctor-dance-cowboy""]",2024-01-25T21:37:21.119798868Z,fight,2024-01-25T21:37:21.119798868Z,chef-fight-sailor,2024-01-25T21:48:21.18924471Z
01HN18WNQM0NGM5BNWTHKGH76Y,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.140713922Z,true,2024-01-25T21:41:55.665154203Z,21,2024-01-25T21:37:21.140713922Z,true,2024-01-25T21:42:02.06303394Z,,2024-01-25T21:37:21.140713922Z,Round 21,2024-01-25T21:37:21.140713922Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.140713922Z,1,2024-01-25T21:37:21.891302068Z,artist,2024-01-25T21:37:21.140713922Z,,,,,,,,,,,,
01HN18WNR1BND4EA0JWH64XMHM,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.153368464Z,true,2024-01-25T21:42:02.100565021Z,22,2024-01-25T21:37:21.153368464Z,true,2024-01-25T21:42:09.400714154Z,,2024-01-25T21:37:21.153368464Z,Round 22,2024-01-25T21:37:21.153368464Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.153368464Z,1,2024-01-25T21:37:21.889713402Z,banana,2024-01-25T21:37:21.153368464Z,,,,,,,,,,,,
01HN18WNR436DEVENF9QA6AC1M,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.156731394Z,true,2024-01-25T21:42:09.420327719Z,23,2024-01-25T21:37:21.156731394Z,true,2024-01-25T21:42:11.751345097Z,,2024-01-25T21:37:21.156731394Z,Round 23,2024-01-25T21:37:21.156731394Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.156731394Z,1,2024-01-25T21:37:21.914410222Z,apple,2024-01-25T21:37:21.156731394Z,,,,,,,,,,,,
01HN18WNRDEQ514WY98NMBZCG3,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.165133871Z,true,2024-01-25T21:42:11.766242116Z,24,2024-01-25T21:37:21.165133871Z,true,2024-01-25T21:42:14.970413128Z,,2024-01-25T21:37:21.165133871Z,Round 24,2024-01-25T21:37:21.165133871Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.165133871Z,1,2024-01-25T21:37:21.891302068Z,chef,2024-01-25T21:37:21.165133871Z,,,,,,,,,,,,
01HN18WNRG0J7AEKG1K7KHNVRC,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.168045039Z,true,2024-01-25T21:42:26.479641768Z,26,2024-01-25T21:37:21.168045039Z,true,2024-01-25T21:42:32.831114116Z,,2024-01-25T21:37:21.168045039Z,Round 25,2024-01-25T21:37:21.168045039Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.168045039Z,1,2024-01-25T21:37:21.966635643Z,cup,2024-01-25T21:37:21.168045039Z,,,,,,,,,,,,
01HN18WNRHDZ6YB9JKYJNFE8GY,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.169512357Z,true,2024-01-25T21:42:40.249677317Z,28,2024-01-25T21:37:21.169512357Z,true,2024-01-25T21:42:49.917751691Z,,2024-01-25T21:37:21.169512357Z,Round 27,2024-01-25T21:37:21.169512357Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.169512357Z,1,2024-01-25T21:37:21.94156693Z,soldier,2024-01-25T21:37:21.169512357Z,,,,,,,,,,,,
01HN18WNRPDG0AQNS1ADYQA9P9,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.174204951Z,true,2024-01-25T21:42:32.850377633Z,27,2024-01-25T21:37:21.174204951Z,true,2024-01-25T21:42:40.228932289Z,,2024-01-25T21:37:21.174204951Z,Round 26,2024-01-25T21:37:21.174204951Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.174204951Z,1,2024-01-25T21:37:21.95122572Z,burglar,2024-01-25T21:37:21.174204951Z,,,,,,,,,,,,
01HN18WNRSDT4D7JRZYME436GY,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.179413197Z,true,2024-01-25T21:42:49.93506313Z,29,2024-01-25T21:37:21.179413197Z,true,2024-01-25T21:42:55.412648801Z,,2024-01-25T21:37:21.179413197Z,Round 28,2024-01-25T21:37:21.179413197Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.179413197Z,1,2024-01-25T21:37:21.95122572Z,cake,2024-01-25T21:37:21.179413197Z,,,,,,,,,,,,
