id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt
01HN19066MWAERNV4X0BH32RFB,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:16.308994487Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:16.308994487Z,01HN18Z7Y7ETSVTJ81FJMDJW6E,2024-01-25T21:39:16.308994487Z,01HN18Z8SNMJTRH84XFPMVB2QE,2024-01-25T21:39:16.308994487Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:16.308994487Z,,
01HN19066V5GYHEAETRTXVHT3H,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:16.315383016Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:16.315383016Z,01HN18Z7Y7ETSVTJ81FJMDJW6E,2024-01-25T21:39:16.315383016Z,01HN18Z8SNMJTRH84XFPMVB2QE,2024-01-25T21:39:16.315383016Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:16.315383016Z,true,2024-01-25T21:39:21.109906932Z
01HN190AEVGPWN8YA21AEC855A,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:20.667766525Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:20.667766525Z,01HN18WNNNESQHXFTCBGT5FJ78,2024-01-25T21:39:20.667766525Z,01HN18WPEJA4X49C6DTZSHYWV0,2024-01-25T21:39:20.667766525Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:39:20.667766525Z,true,2024-01-25T21:39:37.268488456Z
01HN190AF24EBV18MGP8T83TBH,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:20.674676051Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:20.674676051Z,01HN18WNNNESQHXFTCBGT5FJ78,2024-01-25T21:39:20.674676051Z,01HN18WPEJA4X49C6DTZSHYWV0,2024-01-25T21:39:20.674676051Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:39:20.674676051Z,true,2024-01-25T21:39:25.40482364Z
01HN190AZG628CD1NAJ5586H1Q,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:21.20042993Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:21.20042993Z,01HN18Z7YB2QWBYJD4SCHFB0CY,2024-01-25T21:39:21.20042993Z,01HN18Z8SWD5MPXQXYCVFKK4FZ,2024-01-25T21:39:21.20042993Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:21.20042993Z,,
01HN190AZRQFJ1NWHNK2YJ7A25,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:21.208958452Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:21.208958452Z,01HN18Z7YB2QWBYJD4SCHFB0CY,2024-01-25T21:39:21.208958452Z,01HN18Z8SWD5MPXQXYCVFKK4FZ,2024-01-25T21:39:21.208958452Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:21.208958452Z,true,2024-01-25T21:39:27.505667071Z
01HN190H71C5ZPTMVVKWG4JNVE,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:27.585909481Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:27.585909481Z,01HN18Z7YKFGHZNN5JRARCTK6S,2024-01-25T21:39:27.585909481Z,01HN18Z8TMGP2PG6FKBF8R1BPE,2024-01-25T21:39:27.585909481Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:27.585909481Z,,
01HN190H781YTGC3XNKGAG31FW,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:27.592591425Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:27.592591425Z,01HN18Z7YKFGHZNN5JRARCTK6S,2024-01-25T21:39:27.592591425Z,01HN18Z8TMGP2PG6FKBF8R1BPE,2024-01-25T21:39:27.592591425Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:27.592591425Z,true,2024-01-25T21:39:34.834274227Z
01HN190RBZZMTQWZPKVBQMC204,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:34.9116779Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:34.9116779Z,01HN18Z7YYN0W210GT1Q81B1DA,2024-01-25T21:39:34.9116779Z,01HN18Z8V89V8P3SJN8HPB36DZ,2024-01-25T21:39:34.9116779Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:34.9116779Z,,
01HN190RC6DSAE3BEF21VFXJZZ,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:34.918540444Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:34.918540444Z,01HN18Z7YYN0W210GT1Q81B1DA,2024-01-25T21:39:34.918540444Z,01HN18Z8V89V8P3SJN8HPB36DZ,2024-01-25T21:39:34.918540444Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:34.918540444Z,true,2024-01-25T21:39:38.534998293Z
