id,name,nameLastChangedAt,duration,durationLastChangedAt,gameID,gameIDLastChangedAt,started,startedLastChangedAt,batchID,batchIDLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,status,statusLastChangedAt
01HN18WPFBP2AQ2J8R27AVCWN6,train,2024-01-25T21:37:21.899551691Z,10000,2024-01-25T21:37:21.899551691Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.899551691Z,true,2024-01-25T21:41:26.731622316Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.899551691Z,01HN18WNPPE652M5E8B4AVHNKT,2024-01-25T21:37:21.899551691Z,01HN18WP04NW63HJZYHHT2CKXF,2024-01-25T21:37:21.899551691Z,0,2024-01-25T21:37:21.899551691Z,true,2024-01-25T21:41:26.692418558Z,true,2024-01-25T21:41:34.031069031Z,,,,
01HN18WPFEY3KNJKXDK2Z8NZ9X,train,2024-01-25T21:37:21.902168783Z,10000,2024-01-25T21:37:21.902168783Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.902168783Z,true,2024-01-25T21:41:34.157262203Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.902168783Z,01HN18WNPGXRMHJSTRW0JSZV2J,2024-01-25T21:37:21.902168783Z,01HN18WP04NW63HJZYHM63PXYD,2024-01-25T21:37:21.902168783Z,0,2024-01-25T21:37:21.902168783Z,true,2024-01-25T21:41:34.112158649Z,true,2024-01-25T21:41:44.610109821Z,,,,
01HN18WPFG05RPNXWNMSESQZER,train,2024-01-25T21:37:21.904129996Z,10000,2024-01-25T21:37:21.904129996Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.904129996Z,true,2024-01-25T21:41:44.752958918Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.904129996Z,01HN18WNPPE652M5E8BSWTZF67,2024-01-25T21:37:21.904129996Z,01HN18WP04NW63HJZYHSS3TRVP,2024-01-25T21:37:21.904129996Z,0,2024-01-25T21:37:21.904129996Z,true,2024-01-25T21:41:44.695799818Z,true,2024-01-25T21:41:55.628473931Z,,,,
01HN18WPFMNNG8ATG3PZ0E737D,instructions,2024-01-25T21:37:21.908372867Z,10000,2024-01-25T21:37:21.908372867Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.908372867Z,true,2024-01-25T21:42:15.135751219Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.908372867Z,01HN18WNPW4SR19XCNT9BSAGMA,2024-01-25T21:37:21.908372867Z,01HN18WP05GMMT2DKVY6181TH8,2024-01-25T21:37:21.908372867Z,0,2024-01-25T21:37:21.908372867Z,true,2024-01-25T21:42:15.081464427Z,true,2024-01-25T21:42:26.430232964Z,,,,
01HN18WPFQ9Y1G5M1JPW1TPV2H,train,2024-01-25T21:37:21.91119656Z,10000,2024-01-25T21:37:21.91119656Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.91119656Z,true,2024-01-25T21:40:39.873912764Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.91119656Z,01HN18WNP664CE4XESZAZ60CR3,2024-01-25T21:37:21.91119656Z,01HN18WP00AZVY8RDYP0D0QMHV,2024-01-25T21:37:21.91119656Z,0,2024-01-25T21:37:21.91119656Z,true,2024-01-25T21:40:39.836312324Z,true,2024-01-25T21:41:02.061393302Z,,,,
01HN18WPFT5XQV5NJ9Z8DB13FJ,train,2024-01-25T21:37:21.914502363Z,10000,2024-01-25T21:37:21.914502363Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.914502363Z,true,2024-01-25T21:41:02.195704967Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.914502363Z,01HN18WNP972ACAJKS0ABDCNMJ,2024-01-25T21:37:21.914502363Z,01HN18WP00AZVY8RDYP4ZHMA5E,2024-01-25T21:37:21.914502363Z,0,2024-01-25T21:37:21.914502363Z,true,2024-01-25T21:41:02.153892041Z,true,2024-01-25T21:41:12.632530965Z,,,,
01HN18WPG0SM22ZXZ8RZHJ40RC,train,2024-01-25T21:37:21.920037202Z,10000,2024-01-25T21:37:21.920037202Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.920037202Z,true,2024-01-25T21:42:09.519568145Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.920037202Z,01HN18WNR436DEVENF9QA6AC1M,2024-01-25T21:37:21.920037202Z,01HN18WP0717TM0N4JY8R9SX1X,2024-01-25T21:37:21.920037202Z,0,2024-01-25T21:37:21.920037202Z,true,2024-01-25T21:42:09.46602324Z,true,2024-01-25T21:42:11.734299444Z,,,,
01HN18WPG604CTTAK7QMGTP8EQ,recall,2024-01-25T21:37:21.926741824Z,10000,2024-01-25T21:37:21.926741824Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.926741824Z,true,2024-01-25T21:42:40.351397223Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.926741824Z,01HN18WNRHDZ6YB9JKYJNFE8GY,2024-01-25T21:37:21.926741824Z,01HN18WP0CXDT08JYPEYY95MGK,2024-01-25T21:37:21.926741824Z,0,2024-01-25T21:37:21.926741824Z,true,2024-01-25T21:42:40.296962756Z,true,2024-01-25T21:42:49.900414396Z,,,,
01HN18WPGB12CSNWCTMRX4W4KX,recall,2024-01-25T21:37:21.931846199Z,10000,2024-01-25T21:37:21.931846199Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.931846199Z,true,2024-01-25T21:43:02.04158018Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.931846199Z,01HN18WNRWAFJ49PSRGJE95SAH,2024-01-25T21:37:21.931846199Z,01HN18WP0H9NAGHHAKT8Z3G01G,2024-01-25T21:37:21.931846199Z,0,2024-01-25T21:37:21.931846199Z,true,2024-01-25T21:43:01.990019628Z,true,2024-01-25T21:43:08.441834364Z,,,,
01HN18WPGE8R9J85KET1S392KT,recall,2024-01-25T21:37:21.934320676Z,10000,2024-01-25T21:37:21.934320676Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.934320676Z,true,2024-01-25T21:43:13.613978752Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.934320676Z,01HN18WNS16XZ47R86BN7QA2Q4,2024-01-25T21:37:21.934320676Z,01HN18WP0JK1ESK3EQHHTYH7ME,2024-01-25T21:37:21.934320676Z,0,2024-01-25T21:37:21.934320676Z,true,2024-01-25T21:43:13.563795832Z,true,2024-01-25T21:43:18.487065699Z,,,,
